profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
"METHYLHYDRAZINE>=3.682e-06		1,3-BUTADIENE<2.551e-01",EmergencyRoomVisit,0.005383540062088393,mixed_sign_profile,-0.5264132817558573,-0.8971279041611124,-0.15569865935060223,14,37,114,True,[0.23838624815470977],"Index(['METHYLHYDRAZINE>=_and_1,3-BUTADIENE<'], dtype='object')",[]
POLYCHLORINATED BIPHENYLS (AROCLORS)>=4.776e-07		2-NITROPROPANE<9.292e-09,EmergencyRoomVisit,0.09862944941432394,mixed_sign_profile,0.4052049190071075,-0.07567330092064939,0.8860831389348643,14,23,128,True,[0.8986131344243952],"Index(['POLYCHLORINATED BIPHENYLS (AROCLORS)>=_and_2-NITROPROPANE<'], dtype='object')",[]
METHYLHYDRAZINE<2.431e-06		METHYL CHLORIDE (CHLOROMETHANE)>=1.205e+00,EmergencyRoomVisit,0.25235879279127116,mixed_sign_profile,-0.2100014479274149,-0.5695867226650815,0.1495838268102517,14,9,142,True,[0.7776712352966184],"Index(['METHYLHYDRAZINE<_and_METHYL CHLORIDE (CHLOROMETHANE)>='], dtype='object')",[]
METHYLHYDRAZINE<4.668e-06		ANILINE<3.514e-06,EmergencyRoomVisit,0.07304969221647505,neg_correlate,0.37847354345030476,-0.03535418087830372,0.7923012677789132,14,57,94,True,[0.055340573703859496],"Index(['METHYLHYDRAZINE<_and_ANILINE<'], dtype='object')",[]
METHYL CHLORIDE (CHLOROMETHANE)<1.061e+00,EmergencyRoomVisit,0.054298477991927795,neg_correlate,0.5026538826284159,-0.009276608477655657,1.0145843737344875,14,29,122,True,[],[],[]
PROPYLENE OXIDE>=6.891e-04		STYRENE>=1.075e-01,EmergencyRoomVisit,0.0945524247506118,pos_correlate,0.4236328737221504,-0.07300345697490612,0.9202692044192069,14,26,125,True,[],"Index(['PROPYLENE OXIDE>=_and_STYRENE>='], dtype='object')","[['PROPYLENE OXIDE>=_and_STYRENE>=', 'STYRENE>='], ['PROPYLENE OXIDE>=_and_STYRENE>=', 'STYRENE>=']]"
"1,4-DICHLOROBENZENE>=1.347e-03		STYRENE<2.363e-02",EmergencyRoomVisit,0.042122289706738536,mixed_sign_profile,-0.36261105788966547,-0.7123139269958225,-0.012908188783508356,13,25,126,True,[0.273745946025271],"Index(['1,4-DICHLOROBENZENE>=_and_STYRENE<'], dtype='object')",[]
"BERYLLIUM COMPOUNDS<3.091e-04		2,2,4-TRIMETHYLPENTANE<6.404e-01",EmergencyRoomVisit,0.18239017638795485,pos_correlate,-0.24961591887505968,-0.6165175098293323,0.11728567207921292,13,35,116,True,[],"Index(['BERYLLIUM COMPOUNDS<_and_2,2,4-TRIMETHYLPENTANE<'], dtype='object')","[['BERYLLIUM COMPOUNDS<_and_2,2,4-TRIMETHYLPENTANE<', '2,2,4-TRIMETHYLPENTANE<'], ['BERYLLIUM COMPOUNDS<_and_2,2,4-TRIMETHYLPENTANE<', '2,2,4-TRIMETHYLPENTANE<']]"
BERYLLIUM COMPOUNDS>=3.091e-04		ALLYL CHLORIDE<8.203e-07,EmergencyRoomVisit,0.8686530565091604,mixed_sign_profile,0.03462748445324612,-0.3757781173364353,0.4450330862429276,13,9,142,True,[0.9156488277685296],"Index(['BERYLLIUM COMPOUNDS>=_and_ALLYL CHLORIDE<'], dtype='object')",[]
BERYLLIUM COMPOUNDS>=3.091e-04		ALLYL CHLORIDE>=8.203e-07,EmergencyRoomVisit,0.03664693487728648,neg_correlate,-0.4008360461175561,-0.7767911224187198,-0.024880969816392373,13,12,139,True,[0.9161603675597634],"Index(['BERYLLIUM COMPOUNDS>=_and_ALLYL CHLORIDE>='], dtype='object')",[]
PHENOL>=2.203e-02		METHYL CHLORIDE (CHLOROMETHANE)>=1.090e+00,EmergencyRoomVisit,0.0015032544971248427,neg_correlate,-0.6326269610097673,-1.0232711828529903,-0.24198273916654445,13,15,136,True,[0.03845162429431218],"Index(['PHENOL>=_and_METHYL CHLORIDE (CHLOROMETHANE)>='], dtype='object')",[]
HEXAMETHYLENE DIISOCYANATE<1.392e-06		PAHPOM<1.295e-02,EmergencyRoomVisit,0.010177910361679083,neg_correlate,0.6058266388110041,0.14375457851932527,1.0678986991026829,13,49,102,True,[0.8179937489539437],"Index(['HEXAMETHYLENE DIISOCYANATE<_and_PAHPOM<'], dtype='object')",[]
PROPYLENE OXIDE>=6.891e-04		VINYL ACETATE>=1.492e-03,EmergencyRoomVisit,0.31335951053329736,pos_correlate,0.21562592132583142,-0.20355674008551206,0.6348085827371749,13,33,118,True,[],"Index(['PROPYLENE OXIDE>=_and_VINYL ACETATE>='], dtype='object')","[['PROPYLENE OXIDE>=_and_VINYL ACETATE>=', 'VINYL ACETATE>='], ['PROPYLENE OXIDE>=_and_VINYL ACETATE>=', 'VINYL ACETATE>=']]"
TITANIUM TETRACHLORIDE<4.926e-05		MALEIC ANHYDRIDE<1.489e-05,EmergencyRoomVisit,0.065276007537169,neg_correlate,0.4060002611299766,-0.025681305437820323,0.8376818276977736,13,42,109,True,[],"Index(['TITANIUM TETRACHLORIDE<_and_MALEIC ANHYDRIDE<'], dtype='object')","[['TITANIUM TETRACHLORIDE<_and_MALEIC ANHYDRIDE<', 'MALEIC ANHYDRIDE<'], ['TITANIUM TETRACHLORIDE<_and_MALEIC ANHYDRIDE<', 'MALEIC ANHYDRIDE<']]"
CHLOROPRENE>=7.576e-07		VINYL CHLORIDE<7.907e-03,EmergencyRoomVisit,0.001466478057985581,mixed_sign_profile,-0.6053885567839977,-0.9783692289362955,-0.23240788463169987,13,42,109,True,[0.9999999339877489],"Index(['CHLOROPRENE>=_and_VINYL CHLORIDE<'], dtype='object')",[]
BIPHENYL>=5.125e-04,EmergencyRoomVisit,0.12997935229653923,neg_correlate,-0.2845629149070097,-0.6529021107594515,0.08377628094543216,13,13,138,True,[],[],[]
DIBENZOFURAN>=1.558e-08,EmergencyRoomVisit,0.07890171789885474,neg_correlate,-0.3108805636464633,-0.6576545922749287,0.03589346498200208,13,20,131,True,[],[],[]
TRIETHYLAMINE<2.409e-03,EmergencyRoomVisit,0.12022879806509966,neg_correlate,0.3212037137386149,-0.08395914626278556,0.7263665737400153,13,55,96,True,[],[],[]
PROPYLENE OXIDE<6.891e-04		NICKEL COMPOUNDS<2.229e-03,EmergencyRoomVisit,0.5156830842336817,pos_correlate,-0.12073901643766095,-0.4847989761586368,0.24332094328331494,13,24,127,True,[0.86732263459141],"Index(['PROPYLENE OXIDE<_and_NICKEL COMPOUNDS<'], dtype='object')",[]
"BERYLLIUM COMPOUNDS<3.143e-04		1,3-BUTADIENE>=2.553e-01",EmergencyRoomVisit,0.12606958688194317,mixed_sign_profile,0.36209972738916707,-0.10182280649813408,0.8260222612764683,13,21,130,True,[0.8206725810244422],"Index(['BERYLLIUM COMPOUNDS<_and_1,3-BUTADIENE>='], dtype='object')",[]
HYDRAZINE<3.792e-06,EmergencyRoomVisit,0.31357775157822987,pos_correlate,-0.19705180222383628,-0.5802986736440432,0.18619506919637058,12,24,127,True,[],[],[]
HEXAMETHYLENE DIISOCYANATE>=1.392e-06		2-NITROPROPANE<9.292e-09,EmergencyRoomVisit,0.23145846411640003,mixed_sign_profile,0.28222088494089015,-0.1800371673814426,0.7444789372632229,12,13,138,True,[0.37296975672132293],"Index(['HEXAMETHYLENE DIISOCYANATE>=_and_2-NITROPROPANE<'], dtype='object')",[]
"POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.227e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<6.441e-03		HYDRAZINE<2.658e-06",EmergencyRoomVisit,0.030315998776032145,mixed_sign_profile,-0.4004769035319879,-0.7628698516672944,-0.03808395539668141,12,14,137,True,[],"Index(['PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<_and_HYDRAZINE<'], dtype='object')","[['PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<_and_HYDRAZINE<', 'HYDRAZINE<']]"
MERCURY COMPOUNDS<2.163e-03		PAHPOM<1.295e-02,EmergencyRoomVisit,0.056118605358889455,neg_correlate,0.40493396204197313,-0.010568046204270432,0.8204359702882167,12,59,92,True,[0.826260955879153],"Index(['MERCURY COMPOUNDS<_and_PAHPOM<'], dtype='object')",[]
PROPIONALDEHYDE<2.913e-02,EmergencyRoomVisit,0.3839428321634577,neg_correlate,0.17457335250511838,-0.21841546887479077,0.5675621738850275,12,51,100,True,[],[],[]
ACETALDEHYDE>=2.299e+00		MANGANESE COMPOUNDS>=5.520e-03,EmergencyRoomVisit,0.11436070516505918,neg_correlate,-0.3063834325704032,-0.6867136161356164,0.07394675099481002,12,15,136,True,[],"Index(['ACETALDEHYDE>=_and_MANGANESE COMPOUNDS>='], dtype='object')","[['ACETALDEHYDE>=_and_MANGANESE COMPOUNDS>=', 'MANGANESE COMPOUNDS>='], ['ACETALDEHYDE>=_and_MANGANESE COMPOUNDS>=', 'MANGANESE COMPOUNDS>=']]"
"N,N-DIMETHYLANILINE>=2.718e-05		FORMALDEHYDE<2.699e+00",EmergencyRoomVisit,0.18745103219180204,mixed_sign_profile,-0.2514778632341788,-0.6253995454212127,0.122443818952855,12,40,111,True,[0.03806514019385955],"Index(['N,N-DIMETHYLANILINE>=_and_FORMALDEHYDE<'], dtype='object')",[]
